Year,Lexical_Drift_X_raw,Lexical_Drift_X,Outrage_Tone_Y_raw,Outrage_Tone_Y,Semantic_Distance_Z_raw,Semantic_Distance_Z
1994,0.680049,0.000000,0.450453,0.000000,0.166224,0.000000
1995,0.726734,0.324292,0.449056,0.000000,0.167175,0.015468
1996,0.714633,0.240236,0.448972,0.000000,0.166489,0.004308
1997,0.637960,0.000000,0.449680,0.000000,0.163068,0.000000
1998,0.626271,0.000000,0.450208,0.000000,0.161530,0.000000
1999,0.651509,0.000000,0.450584,0.014606,0.161012,0.000000
2000,0.653702,0.000000,0.450980,0.058789,0.159080,0.000000
2001,0.638109,0.000000,0.451399,0.105408,0.154142,0.000000
2002,0.640148,0.000000,0.451919,0.163409,0.154959,0.000000
2003,0.664708,0.000000,0.452557,0.234440,0.163230,0.000000
2004,0.669976,0.000000,0.452892,0.271850,0.164772,0.000000
2005,0.668593,0.000000,0.453082,0.292982,0.163286,0.000000
2006,0.669175,0.000000,0.452855,0.267696,0.164063,0.000000
2007,0.675303,0.000000,0.451512,0.117990,0.170868,0.075593
2008,0.689781,0.067602,0.450364,0.000000,0.181807,0.253642
2009,0.725157,0.313339,0.449385,0.000000,0.199068,0.534616
2010,0.753826,0.512486,0.449259,0.000000,0.197688,0.512150
2011,0.777267,0.675317,0.449536,0.000000,0.176253,0.163243
2012,0.773102,0.646381,0.449839,0.000000,0.171485,0.085630
2013,0.736820,0.394356,0.450194,0.000000,0.172111,0.095825
2014,0.728990,0.339961,0.451260,0.089902,0.172880,0.108341
2015,0.730816,0.352647,0.453864,0.380171,0.173961,0.125934
2016,0.730359,0.349468,0.454613,0.463581,0.179644,0.218444
2017,0.726518,0.322794,0.454747,0.478506,0.197530,0.509574
2018,0.726833,0.324982,0.454759,0.479832,0.199695,0.544812
2019,0.734994,0.381666,0.454732,0.476910,0.191825,0.416712
2020,0.757923,0.540943,0.455487,0.561027,0.195130,0.470508
2021,0.813483,0.926884,0.458835,0.934066,0.217541,0.835312
2022,0.824009,1.000000,0.458859,0.936803,0.218017,0.843060
2023,0.815397,0.940182,0.455620,0.575805,0.197700,0.512347
2024,0.804116,0.861815,0.455468,0.558935,0.197684,0.512089
2025,0.788103,0.750583,0.459426,1.000000,0.227659,1.000000
